terralith:frozen_cliffs,minecraft:oak_sapling
terralith:sakura_grove,minecraft:oak_sapling
minecraft:end_highlands,regrowth:no_sapling
regions_unexplored:dry_bushland,minecraft:oak_sapling
regions_unexplored:infernal_holt,minecraft:oak_sapling
regions_unexplored:poppy_fields,minecraft:oak_sapling
terralith:lush_desert,minecraft:oak_sapling
terralith:steppe,minecraft:oak_sapling
terralith:white_mesa,minecraft:oak_sapling
regions_unexplored:golden_boreal_taiga,minecraft:spruce_sapling
terralith:desert_canyon,minecraft:oak_sapling
regions_unexplored:deciduous_forest,minecraft:oak_sapling
minecraft:beach,minecraft:oak_sapling
minecraft:jagged_peaks,minecraft:oak_sapling
terralith:amethyst_rainforest,minecraft:oak_sapling
terralith:arid_highlands,minecraft:oak_sapling
terralith:yellowstone,minecraft:oak_sapling
minecraft:old_growth_spruce_taiga,minecraft:spruce_sapling
terralith:skylands,minecraft:oak_sapling
regions_unexplored:flower_fields,minecraft:oak_sapling
terralith:tropical_jungle,minecraft:jungle_sapling
terralith:ancient_sands,minecraft:oak_sapling
terralith:cave/diorite_caves,minecraft:oak_sapling
regions_unexplored:rocky_meadow,minecraft:oak_sapling
minecraft:dark_forest,minecraft:oak_sapling
regions_unexplored:temperate_grove,minecraft:oak_sapling
regions_unexplored:alpha_grove,regions_unexplored:alpha_sapling
terralith:basalt_cliffs,minecraft:oak_sapling
terralith:savanna_badlands,minecraft:acacia_sapling
terralith:cave/granite_caves,minecraft:oak_sapling
minecraft:cherry_grove,croptopia:cherry_sapling
terralith:jungle_mountains,minecraft:jungle_sapling
regions_unexplored:hyacinth_deeps,minecraft:oak_sapling
terralith:wintry_lowlands,minecraft:oak_sapling
minecraft:small_end_islands,regrowth:no_sapling
minecraft:sparse_jungle,minecraft:jungle_sapling
minecraft:windswept_savanna,minecraft:acacia_sapling
regions_unexplored:pine_taiga,regions_unexplored:pine_sapling
terralith:cave/frostfire_caves,bloomingnature:fir_sapling
minecraft:the_end,regrowth:no_sapling
minecraft:savanna,minecraft:acacia_sapling
minecraft:end_barrens,regrowth:no_sapling
terralith:amethyst_canyon,minecraft:oak_sapling
minecraft:old_growth_birch_forest,minecraft:birch_sapling
minecraft:frozen_peaks,minecraft:oak_sapling
minecraft:frozen_river,minecraft:oak_sapling
regions_unexplored:boreal_taiga,minecraft:spruce_sapling
terralith:yosemite_lowlands,minecraft:oak_sapling
regions_unexplored:frozen_pine_taiga,regions_unexplored:pine_sapling
terralith:alpine_grove,regions_unexplored:pine_sapling
terralith:windswept_spires,minecraft:oak_sapling
terralith:forested_highlands,minecraft:oak_sapling
terralith:white_cliffs,minecraft:oak_sapling
terralith:cave/thermal_caves,minecraft:oak_sapling
terralith:valley_clearing,minecraft:oak_sapling
terralith:sakura_valley,minecraft:oak_sapling
minecraft:ocean,regrowth:no_sapling
minecraft:lukewarm_ocean,regrowth:no_sapling
regions_unexplored:bioshroom_caves,minecraft:oak_sapling
terralith:cave/deep_caves,minecraft:oak_sapling
regions_unexplored:joshua_desert,regions_unexplored:joshua_sapling
minecraft:desert,minecraft:oak_sapling
regions_unexplored:ashen_woodland,regions_unexplored:ashen_sapling
terralith:volcanic_crater,minecraft:oak_sapling
regions_unexplored:maple_forest,regions_unexplored:maple_sapling
minecraft:birch_forest,minecraft:birch_sapling
terralith:emerald_peaks,minecraft:oak_sapling
minecraft:windswept_gravelly_hills,minecraft:oak_sapling
terralith:fractured_savanna,minecraft:acacia_sapling
regions_unexplored:highland_fields,minecraft:oak_sapling
terralith:snowy_maple_forest,regions_unexplored:maple_sapling
regions_unexplored:steppe,minecraft:oak_sapling
terralith:wintry_forest,minecraft:oak_sapling
minecraft:end_midlands,regrowth:no_sapling
terralith:snowy_shield,minecraft:spruce_sapling
regions_unexplored:frozen_tundra,minecraft:oak_sapling
terralith:mountain_steppe,minecraft:oak_sapling
regions_unexplored:spires,minecraft:oak_sapling
terralith:lavender_valley,minecraft:oak_sapling
terralith:cloud_forest,minecraft:oak_sapling
terralith:alpha_islands_winter,regions_unexplored:alpha_sapling
terralith:birch_taiga,minecraft:birch_sapling
terralith:painted_mountains,minecraft:oak_sapling
regions_unexplored:tropics,minecraft:oak_sapling
regions_unexplored:sparse_redwoods,regions_unexplored:redwood_sapling
regions_unexplored:mycotoxic_undergrowth,minecraft:oak_sapling
terralith:blooming_valley,minecraft:oak_sapling
terralith:sandstone_valley,minecraft:oak_sapling
minecraft:old_growth_pine_taiga,regions_unexplored:pine_sapling
minecraft:deep_cold_ocean,regrowth:no_sapling
minecraft:soul_sand_valley,minecraft:oak_sapling
regions_unexplored:mountains,minecraft:oak_sapling
regions_unexplored:cold_boreal_taiga,minecraft:spruce_sapling
regions_unexplored:clover_plains,minecraft:oak_sapling
regions_unexplored:bayou,minecraft:oak_sapling
minecraft:swamp,minecraft:oak_sapling
terralith:savanna_slopes,minecraft:acacia_sapling
minecraft:ice_spikes,minecraft:spruce_sapling
terralith:stony_spires,minecraft:oak_sapling
terralith:cave/ice_caves,minecraft:oak_sapling
minecraft:deep_frozen_ocean,regrowth:no_sapling
terralith:blooming_plateau,minecraft:oak_sapling
regions_unexplored:rocky_reef,minecraft:oak_sapling
regions_unexplored:bamboo_forest,regions_unexplored:bamboo_sapling
regions_unexplored:arid_mountains,minecraft:oak_sapling
minecraft:deep_ocean,regrowth:no_sapling
regions_unexplored:pine_slopes,regions_unexplored:pine_sapling
terralith:rocky_jungle,minecraft:jungle_sapling
minecraft:mangrove_swamp,minecraft:oak_sapling
minecraft:forest,minecraft:oak_sapling
regions_unexplored:tropical_river,minecraft:oak_sapling
terralith:volcanic_peaks,minecraft:oak_sapling
regions_unexplored:sparse_rainforest,minecraft:oak_sapling
terralith:siberian_grove,minecraft:oak_sapling
terralith:cold_shrubland,minecraft:oak_sapling
minecraft:crimson_forest,minecraft:oak_sapling
minecraft:snowy_taiga,minecraft:spruce_sapling
terrablender:deferred_placeholder,minecraft:oak_sapling
terralith:cave/underground_jungle,minecraft:jungle_sapling
terralith:warm_river,minecraft:oak_sapling
minecraft:frozen_ocean,regrowth:no_sapling
terralith:cave/infested_caves,minecraft:oak_sapling
minecraft:deep_dark,regrowth:no_sapling
minecraft:deep_lukewarm_ocean,regrowth:no_sapling
regions_unexplored:redstone_caves,minecraft:oak_sapling
minecraft:meadow,minecraft:oak_sapling
terralith:rocky_shrubland,minecraft:oak_sapling
terralith:rocky_mountains,minecraft:oak_sapling
terralith:snowy_cherry_grove,croptopia:cherry_sapling
terralith:siberian_taiga,minecraft:spruce_sapling
minecraft:warm_ocean,regrowth:no_sapling
terralith:bryce_canyon,minecraft:oak_sapling
minecraft:snowy_beach,minecraft:spruce_sapling
regions_unexplored:saguaro_desert,minecraft:oak_sapling
regions_unexplored:blackwood_taiga,regions_unexplored:blackwood_sapling
minecraft:wooded_badlands,minecraft:oak_sapling
minecraft:eroded_badlands,minecraft:oak_sapling
terralith:cave/desert_caves,minecraft:oak_sapling
minecraft:mushroom_fields,regrowth:no_sapling
regions_unexplored:outback,minecraft:oak_sapling
regions_unexplored:redstone_abyss,minecraft:oak_sapling
minecraft:windswept_hills,minecraft:oak_sapling
terralith:skylands_winter,minecraft:oak_sapling
minecraft:cold_ocean,regrowth:no_sapling
regions_unexplored:marsh,minecraft:oak_sapling
terralith:lavender_forest,minecraft:oak_sapling
regions_unexplored:glistering_meadow,minecraft:oak_sapling
terralith:brushland,minecraft:oak_sapling
minecraft:basalt_deltas,minecraft:oak_sapling
terralith:yosemite_cliffs,minecraft:oak_sapling
regions_unexplored:fen,minecraft:oak_sapling
terralith:temperate_highlands,minecraft:oak_sapling
regions_unexplored:eucalyptus_forest,regions_unexplored:eucalyptus_sapling
terralith:lush_valley,minecraft:oak_sapling
regions_unexplored:cold_river,minecraft:oak_sapling
regions_unexplored:shrubland,minecraft:oak_sapling
terralith:alpha_islands,regions_unexplored:alpha_sapling
minecraft:warped_forest,minecraft:oak_sapling
regions_unexplored:redwoods,regions_unexplored:redwood_sapling
regions_unexplored:prairie,minecraft:oak_sapling
terralith:glacial_chasm,minecraft:oak_sapling
regions_unexplored:scorching_caves,minecraft:oak_sapling
terralith:gravel_beach,minecraft:oak_sapling
terralith:desert_oasis,minecraft:oak_sapling
terralith:moonlight_grove,minecraft:oak_sapling
terralith:skylands_autumn,minecraft:oak_sapling
regions_unexplored:old_growth_bayou,minecraft:oak_sapling
minecraft:stony_shore,minecraft:oak_sapling
terralith:cave/tuff_caves,minecraft:oak_sapling
terralith:snowy_badlands,minecraft:spruce_sapling
terralith:caldera,minecraft:oak_sapling
regions_unexplored:grassy_beach,minecraft:oak_sapling
minecraft:plains,minecraft:oak_sapling
terralith:ice_marsh,minecraft:oak_sapling
minecraft:badlands,minecraft:oak_sapling
minecraft:snowy_slopes,minecraft:spruce_sapling
minecraft:nether_wastes,minecraft:oak_sapling
regions_unexplored:icy_heights,minecraft:oak_sapling
regions_unexplored:prismachasm,minecraft:oak_sapling
terralith:cave/andesite_caves,minecraft:oak_sapling
terralith:highlands,minecraft:oak_sapling
regions_unexplored:willow_forest,regions_unexplored:willow_sapling
terralith:orchid_swamp,minecraft:oak_sapling
terralith:shrubland,minecraft:oak_sapling
regions_unexplored:magnolia_woodland,regions_unexplored:magnolia_sapling
minecraft:savanna_plateau,minecraft:acacia_sapling
minecraft:grove,minecraft:oak_sapling
regions_unexplored:baobab_savanna,bloomingnature:baobab_sapling
regions_unexplored:mauve_hills,regions_unexplored:mauve_sapling
terralith:haze_mountain,minecraft:oak_sapling
minecraft:flower_forest,minecraft:oak_sapling
minecraft:the_void,regrowth:no_sapling
regions_unexplored:ancient_delta,minecraft:oak_sapling
terralith:gravel_desert,minecraft:oak_sapling
terralith:hot_shrubland,minecraft:oak_sapling
minecraft:taiga,minecraft:spruce_sapling
terralith:ashen_savanna,regions_unexplored:ashen_sapling
regions_unexplored:gravel_beach,minecraft:oak_sapling
regions_unexplored:grassland,minecraft:oak_sapling
minecraft:river,minecraft:oak_sapling
minecraft:jungle,minecraft:jungle_sapling
terralith:moonlight_valley,minecraft:oak_sapling
minecraft:lush_caves,minecraft:oak_sapling
terralith:desert_spires,minecraft:oak_sapling
